,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,13.347600000000003,40.69222399999999,4.836400000000001,0.4928998275511975,4.355718781489916,0.4046764633630179
min-max,13.401000000000003,40.969266000000005,4.884600000000002,0.5049089026745321,4.44067051525375,0.4166735412766211
z-score,13.357000000000005,40.74513,4.847399999999999,0.4895109804692841,4.345687652708141,0.4011673466273145
min-max_p,13.054599999999994,9.072297999999996,3.3150000000000013,0.1136698728775572,3.743481567818387,0.2576606295109906
z-score_p,11.914999999999996,15.009717999999998,3.5022,0.185625968010944,3.156289553744396,0.2157896197688852
nonlinear_p,9.501799999999998,3.635534000000001,1.4641999999999993,0.1134141084698019,0.2149398665766776,0.0294
