,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,10.4286,52.865066000000006,6.230199999999999,0.7511564683872463,5.78352769443045,0.5493104404614937
min-max,10.388,52.676368,6.196400000000002,0.7837652709836024,6.117894771486023,0.5706444076655796
z-score,10.367600000000005,52.51058,6.167600000000002,0.7455804718472714,5.73844414704892,0.5461888318155179
min-max_p,6.637799999999999,15.200518000000002,2.716999999999999,0.5292382828178628,5.208779922311558,0.4976997086597503
z-score_p,12.1428,63.993915999999984,7.679199999999998,0.3119169120134399,3.011780206944727,0.3343700943565376
nonlinear_p,5.937600000000001,3.399523999999999,1.7324000000000002,0.1103731851492925,0.1392917148433459,0.0418836483606669
