,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,7.0168,38.287864,3.3096000000000005,0.2511050776069652,2.889296686030009,0.18769080957788
scale,7.0586,38.64232200000001,3.3406,0.2631426229252874,2.996003445678259,0.1992326278499583
center,7.049,38.57630600000002,3.3342,0.2582498789931953,2.993880051398853,0.2002307668666331
scale_p,6.4214,10.22863,2.0714,0.0916080782464078,0.5336745818380335,0.0534419311028334
center_p,6.659800000000001,7.435165999999999,1.7866000000000002,0.7613789857882866,1.905864245281914,0.7861643848458157
norm_p,5.272799999999998,3.071347999999999,1.3732,0.5042143988423973,1.853824877623558,0.4516965352977594
