,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,9.135,6.212753999999999,1.4925999999999993,0.1184103036057249,1.49635155497764,0.1387920747016919
scale,9.130400000000003,6.257772000000001,1.4967999999999997,0.1265853072042723,1.542463644568649,0.1406902981729728
center,9.1212,6.232944000000001,1.4988000000000006,0.1129892030240057,1.237871283802964,0.1212541133322907
scale_p,13.009800000000002,17.588397999999994,3.7722,0.3226545521141767,1.1539437078973995,0.2360956585793139
center_p,12.453,21.441094,3.3646,0.2725747603869443,1.0360810054064309,0.126161959401398
norm_p,9.5128,3.152532000000001,1.2924,0.1220825949920791,1.9966392693163173,0.3087170873145831
