,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.397800000000007,4.609489999999999,1.4818,0.3329642022800648,1.1528115074460357,0.1365091938295732
scale,14.395400000000002,4.592925999999999,1.4757999999999996,0.3300497538250863,1.1842648553106698,0.1319407442756027
center,14.396200000000004,4.577630000000001,1.4745999999999997,0.3212406574516992,1.1129924934607598,0.1295099996139294
scale_p,16.640399999999996,17.333568000000003,3.386,0.690159285962306,5.504003356882698,0.239774894432257
center_p,16.159800000000004,32.854842000000005,4.785,0.2679961940028252,6.949358310724523,0.641265155766318
norm_p,13.364,5.895163999999999,2.1860000000000004,0.2018415219918836,0.3542062640665745,0.0829939756849857
