,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.950600000000003,9.488134000000002,2.0266,0.2218685196236725,1.927263509290828,0.2334404420832002
scale,14.9364,9.366155999999998,2.0108,0.1860081718634963,2.0709236186938424,0.2453229707956431
center,14.9488,9.402080000000002,2.0192,0.2343044173719307,1.909509092096708,0.236624935287894
scale_p,17.0676,14.294035999999997,3.7836000000000016,0.0582601064194014,0.8148358062235606,0.1625270439034686
center_p,12.420000000000003,20.695368,4.114000000000002,0.2379747885806394,1.9107900656471903,0.0852056336165631
norm_p,11.0468,12.536196,4.2288,0.6245108165596492,0.9659713575381,0.3629415379920022
