,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,5.7848000000000015,6.911736000000001,1.5332,0.2841706529534673,2.8633179204384542,0.3155087320503189
scale,5.776200000000001,6.956618000000002,1.5325999999999995,0.3128826617120225,3.050048981028992,0.3356296172866752
center,5.7734000000000005,6.957758000000002,1.5322,0.3185819203909725,3.2567532168151767,0.3456778268850926
scale_p,6.261199999999999,7.159684000000001,2.301999999999999,0.2772914711995306,2.7779580647202,0.2468683859873517
center_p,7.320999999999999,22.08555,3.781,0.4766644522093085,4.407970438206228,0.3551802359366298
norm_p,4.3466000000000005,5.242889999999999,2.0234000000000005,0.1624144082278416,0.2393175641276667,0.038294124875756
