,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,10.371400000000001,52.670258,6.1774000000000004,0.7623673917475747,5.9935759180339065,0.560206426239471
scale,10.415999999999999,52.792256000000016,6.2212,0.7706412913930835,6.03312055016838,0.5720476903196097
center,10.409600000000001,52.766375999999994,6.2104,0.7755332616980397,5.8875881718938174,0.5592529302560693
norm,9.103,47.62811800000002,5.0794000000000015,0.4761018798534615,3.95718991789325,0.306166033387115
scale_p,13.843799999999998,39.799761999999994,9.182599999999999,0.4617786915828839,3.303557093551736,0.4072925729742687
center_p,10.790000000000003,55.87828,6.976400000000002,0.37043218002759964,1.190814894095634,0.26596811839015605
norm_p,7.960600000000002,23.863774,3.5214000000000003,0.12834967861276475,1.219514987002622,0.1658192992386592
