,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,5.7784,6.904956000000002,1.5472000000000006,0.2504744298326679,2.6817602863910115,0.3951508066548769
min-max,5.766400000000001,6.909463999999999,1.5484,0.2777895606389843,2.8044058827323832,0.4117589586153528
z-score,5.779400000000002,6.9926780000000015,1.5537999999999994,0.2434289218642682,2.6714142044460267,0.3854186814361754
nonlinear,5.433400000000001,8.209826000000001,1.6782,0.4813921893840819,2.874594534316796,0.4830432278792448
min-max_p,6.500400000000001,28.202611999999995,3.6395999999999993,0.4474235577168463,3.478465758959832,0.2377137774719841
z-score_p,7.567399999999997,26.031973999999995,3.9994,0.7204743159891265,4.781868659710761,0.5752578899936968
nonlinear_p,6.753799999999997,34.33016599999999,3.528600000000001,0.5282230210810582,1.21111480275158,0.2850123506095832
