,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.945,9.486418,2.029,0.2162336699036484,2.11382859198091,0.2543953615929347
min-max,14.941199999999997,9.361076,2.0144,0.225092336608779,1.920662318114249,0.2350247646525788
z-score,14.954,9.500784,2.0331999999999995,0.2104756517984919,2.2113427294166774,0.2634269538221174
nonlinear,14.373400000000006,7.550401999999999,1.9178,0.2424261537045868,1.9429468301000927,0.1983158087495799
min-max_p,12.722599999999998,10.846653999999994,3.3334,0.2679463379111572,1.9965426864667848,0.0725426770942457
z-score_p,12.708399999999996,27.357175999999992,4.472799999999999,0.3003222269496548,0.8166263817830042,0.1325600241400098
nonlinear_p,13.3098,16.961846,3.335,0.1754364842328984,2.3879489891712526,0.0708307842678591
