,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,11.882599999999996,11.563805999999998,2.6998,0.0617352411512259,1.6059038402606791,0.113145746716348
min-max,11.8894,11.589701999999996,2.705799999999999,0.0621742712060222,1.7177531744101078,0.1198347195098315
z-score,11.868799999999998,11.565067999999998,2.6964,0.0501852567991836,1.8246736821075715,0.1329324640560009
nonlinear,11.776599999999998,10.439305999999997,2.6062000000000007,0.0467593840849085,1.6802976776047756,0.1501451297911456
min-max_p,10.5186,13.190982000000004,2.8134,0.0973244059832887,1.688871080182262,0.1136241171582864
z-score_p,10.746999999999998,31.415974,4.353400000000001,0.1726759971738978,1.9763723445555488,0.1623774614901957
nonlinear_p,10.961199999999998,3.4750120000000013,1.1160000000000003,0.2372394570892459,1.980385160178696,0.2864611666526548
