,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.362399999999996,4.546444,1.472,0.3209707774860508,1.165098997023,0.132770478646422
min-max,14.366400000000004,4.57792,1.4748,0.3076215857185577,1.2028045517040575,0.1357827676842683
z-score,14.375800000000003,4.59889,1.479,0.3131842269336052,1.073222082376243,0.1234058345460214
nonlinear,14.057800000000002,5.592749999999999,1.7990000000000002,0.304153185089356,1.79823672081848,0.1565151749831307
min-max_p,15.460400000000003,24.718132,3.964799999999999,1.058631116111746,2.86495031268886,0.1316850788813979
z-score_p,14.558799999999994,27.72982800000001,4.0364,0.3235962916969228,7.50556848322737,0.6931948066741412
nonlinear_p,15.7874,8.467906000000001,2.0186,0.7325948675768893,5.266011735171504,0.8663509912269968
