,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,7.068,38.73282400000001,3.3439999999999994,0.25328245103046515,2.966715595035021,0.1956527536223296
scale,7.039799999999999,38.520042,3.3278,0.22665824494158607,2.55649437621834,0.17003870147704608
center,7.010199999999998,38.11063000000001,3.299,0.2558631665558761,2.8204336208639975,0.19807321878537748
norm,5.776000000000002,25.01025599999999,2.345599999999999,0.1441110682772145,2.1212427927193995,0.10284279264975253
scale_p,12.253200000000001,66.79009199999999,7.816,0.21862698826997548,3.7806144870822282,0.19840362899906844
center_p,7.963199999999998,30.773528000000002,3.3856000000000006,0.5362068257678188,0.9879513314004879,0.5328945861988093
norm_p,5.022200000000001,1.8178420000000006,0.6926000000000001,0.117750414012011,1.1792454894702804,0.17267090084898487
