,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,9.128799999999998,6.158704,1.4891999999999996,0.0911403313577475,1.1508349353334737,0.1234640028510334
min-max,9.138799999999998,6.228444,1.4935999999999998,0.135242596839901,1.5463282634887066,0.1376773038666867
z-score,9.147200000000002,6.2473240000000025,1.4928,0.1476758612637828,1.7481530528600748,0.155743892336104
nonlinear,9.148000000000003,7.288188,1.7916,0.0975089739459912,1.1902353233944951,0.093794669358125
min-max_p,13.8524,37.18326,4.994399999999999,0.5025477489751596,1.032711335853346,0.1510650191142873
z-score_p,12.266400000000004,23.753764,3.5719999999999987,0.427629559315069,3.9346432475516777,0.5535160340947677
nonlinear_p,10.6944,8.555976000000001,1.6904,0.1750218272102083,1.056687712535733,0.1241766483683627
