,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,13.685599999999999,8.3589,1.8268,0.043042304771003986,0.154261925308872,0.031205127783747327
scale,13.683400000000004,8.405394,1.8361999999999998,0.050699506900955246,0.18359296436410655,0.03741069365836455
center,13.686400000000003,8.377896000000002,1.8263999999999998,0.05058695484015622,0.18179093152299983,0.03664751014734836
norm,14.443600000000002,5.502516000000002,1.2996000000000003,0.11791115299241213,0.5089201388666006,0.08463947069777793
scale_p,14.2798,9.891462,1.9618000000000004,0.15378543494102428,1.8747780443444495,0.23146222153949877
center_p,14.266799999999998,35.654627999999995,4.1592,0.16789806431284426,1.8384656360171658,0.13565898422146613
norm_p,14.684000000000001,5.77084,1.418,0.06086049621881171,0.4841560475714415,0.050556898639058184
