,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,13.697000000000005,8.307997999999998,1.8226,0.0720624728967858,0.2963493401308664,0.0350319853847879
min-max,13.6946,8.33209,1.8266,0.0981877792803155,0.4134550061373062,0.0478585415573855
z-score,13.692200000000003,8.332397999999996,1.8301999999999992,0.0816159298176526,0.2889911531448669,0.0360272119376451
nonlinear,14.459000000000003,5.457518,1.2982,0.0748398289682707,0.2298326431906489,0.0903701278078105
min-max_p,16.625999999999998,18.87105600000001,3.4315999999999987,0.2761666163749704,1.8055051450671649,0.1509484680279995
z-score_p,14.550200000000004,24.208454,3.0485999999999995,0.4726795531858767,1.7290590270097772,0.2935711838719869
nonlinear_p,15.044199999999998,10.565850000000005,2.0274,0.1574686000445805,0.585633323249284,0.069965991738844
