,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,13.366400000000006,40.71494800000001,4.8524,0.4911242612618519,4.273843388344499,0.4033586989268981
scale,13.3618,40.740926,4.8458000000000006,0.496361521474016,4.394967144669456,0.40614327521208576
center,13.374600000000003,40.76015,4.8518,0.49570640504233954,4.311098539548823,0.39532108468939525
norm,13.3304,42.70428399999999,5.0092,0.4076172714692054,3.7898681693884826,0.3164037926447785
scale_p,14.660400000000003,37.106032000000006,6.489600000000001,0.6836957217944248,1.0901821520168082,0.4693355302978884
center_p,12.828999999999999,38.396338,5.3382000000000005,0.19344508264621263,3.266108522501358,0.26423239771080304
norm_p,14.631200000000002,52.290108000000004,7.288400000000003,0.2132570280201803,3.4989344255552997,0.31424423622399206
