,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,7.047199999999998,38.585908,3.3344000000000005,0.2363560026739324,2.688781418400538,0.1807004150520967
min-max,7.032599999999999,38.408822,3.3162000000000003,0.2755272037385782,3.213061597746921,0.2064256766974496
z-score,7.0724,38.78336400000001,3.3532,0.2412348233568278,2.7219599409072863,0.1847748900689701
nonlinear,5.804200000000001,25.33542999999999,2.3654,0.1401155237652131,2.04132783102078,0.1071300144684018
min-max_p,14.855600000000004,33.032212000000015,10.137200000000002,0.4129608213862423,1.192324679043422,0.3819792664530365
z-score_p,8.129199999999999,42.672384,4.216399999999999,0.3596155725215469,3.4183217091057987,0.3096627843316016
nonlinear_p,8.036000000000003,39.186424,3.491200000000001,0.2224410034143884,2.683733323455219,0.2017784924118524
