,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,5.7806,7.0287380000000015,1.5445999999999998,0.3008747912338286,3.090537150457182,0.3358107204959366
min-max,5.768199999999997,6.861322,1.5297999999999998,0.2674822610940769,2.539084762845856,0.2930767135068907
z-score,5.775199999999999,6.908392000000001,1.5355999999999992,0.2665951237363504,2.534388456873965,0.2924459608201144
nonlinear,5.402600000000001,8.015202000000002,1.6385999999999998,0.2700208140125497,2.110842881077604,0.2609291857956867
min-max_p,16.917599999999997,39.08846800000001,12.068399999999995,0.4507130350899561,3.500004396879524,0.3942352597117615
z-score_p,10.6994,46.17079400000001,6.7174000000000005,0.2881764043081944,3.023151294620235,0.2613335799318565
nonlinear_p,14.941400000000002,48.70915,10.027000000000005,1.041160909754107,2.862372282583104,0.9620774397105464
