,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,10.370200000000002,52.61685000000001,6.183399999999999,0.7260178785677387,5.686164035032756,0.5330613848329288
scale,10.4052,52.75371200000001,6.2063999999999995,0.7547853734671861,5.8174686195506045,0.5483712610996312
center,10.373399999999998,52.582886,6.1754,0.750657338603973,5.87744137515671,0.5520261225703
norm,9.045199999999996,47.17767200000001,5.026400000000001,0.46678149063560775,4.004177871825376,0.30803740032664856
scale_p,11.940399999999995,27.054011999999993,7.508400000000002,0.3650148490130232,5.679142615664442,0.23057632142091258
center_p,9.7272,53.18602,6.1204,0.4569027905364554,2.489989880461363,0.3463002165751561
norm_p,13.0794,50.86397,8.691799999999997,0.3266889040050182,1.0897779992732455,0.38968033052747225
