,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,9.130199999999999,6.203130000000001,1.4942000000000002,0.11365720390718749,1.2527437620279724,0.12353282964459293
scale,9.132399999999999,6.2255400000000005,1.4931999999999999,0.12218936123902138,1.4976113017735946,0.1413851477348311
center,9.1526,6.215821999999999,1.4889999999999999,0.1396110310827908,1.737601597523437,0.15020319570501822
norm,9.151799999999998,7.3806460000000005,1.7994000000000003,0.12210962288042669,1.2738516019081658,0.09475040897009365
scale_p,19.662799999999997,25.008444,10.050799999999997,0.17621623080749413,2.447907210836229,0.10784878302512278
center_p,11.849400000000003,23.686606,3.3538,0.1846987818043206,4.295207765890259,0.40987261435719263
norm_p,10.6306,12.150182000000003,2.0857999999999994,0.23056808105199672,1.2943173384746107,0.16361039086806192
