,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.420600000000002,4.612754000000001,1.4753999999999998,0.3366625016244011,1.0804821909147786,0.12573320961464404
scale,14.406600000000003,4.5804659999999995,1.4782,0.34815289744593536,1.0180996828621445,0.11987810475645669
center,14.416599999999999,4.611774,1.4753999999999996,0.34651181798028186,1.1920704134924243,0.134450139456975
norm,14.116799999999996,5.858904,1.8127999999999997,0.331441940617056,1.8368003038937033,0.15446734282689006
scale_p,17.0244,39.30218400000001,5.863200000000001,1.1361428783388117,7.897267770599145,0.273243041997413
center_p,14.554999999999998,43.069738,5.538999999999999,0.4854245564451802,3.627157944059784,0.33119933574812604
norm_p,12.442199999999996,38.39400200000001,5.519399999999999,0.9428982765919134,6.499380318691621,0.21140870369972944
