,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.957800000000002,9.450006,2.0278000000000005,0.24579088673097704,1.781506650945767,0.23216623354829188
scale,14.940200000000003,9.382758,2.0170000000000012,0.20655740122300142,2.027650838393041,0.2398186815075089
center,14.9506,9.43477,2.0201999999999996,0.2121076141961903,2.2340368705328033,0.25812779780566064
norm,14.3554,7.731089999999998,1.9322000000000004,0.23579830364105686,2.2070969277537413,0.22692985700431734
scale_p,14.666399999999989,47.85875599999999,5.676800000000001,0.2440390132745171,3.6527468002126837,0.2674504813979589
center_p,13.035600000000002,41.041360000000005,5.3132,0.1943518458878126,2.214085076594846,0.17709251819317492
norm_p,14.246200000000004,37.207894,4.318199999999999,0.3726815799043467,1.8902432993040876,0.2678483899522265
