,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,13.6864,8.2973,1.8252000000000006,0.09568197322380011,0.33256402932367785,0.03910191811151977
scale,13.705000000000005,8.360105999999996,1.8229999999999997,0.0739526875779373,0.29800222509907565,0.0352845575287547
center,13.711799999999998,8.294754000000001,1.8146,0.07201916411622677,0.38199460949599795,0.03816857346037445
norm,14.461400000000003,5.4250500000000015,1.2962,0.05531762829333874,0.24589222781535836,0.08611364584083057
scale_p,13.574200000000001,10.172609999999997,2.3442000000000003,0.1352196731248823,0.44672083060900586,0.06726336298461445
center_p,15.2128,9.86228,1.5695999999999994,0.27574655029573814,2.302728721321728,0.31101742716445985
norm_p,15.751199999999997,6.6416319999999995,1.6079999999999999,0.1283220947459946,0.39078768119786,0.08323460818673922
