,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,9.127000000000002,6.305202,1.5001999999999995,0.1525417975507041,1.6709233123623592,0.14504468277051727
scale,9.1362,6.233454000000003,1.4942000000000002,0.15425809541155375,1.6954864410203936,0.14800121621121906
center,9.1236,6.250268000000001,1.5020000000000002,0.12670848432524176,1.5000031625886656,0.14218298069740978
norm,9.150199999999998,7.342038000000003,1.7985999999999995,0.11314574671634822,1.2983330227472472,0.09744762695930566
scale_p,9.3062,4.330290000000001,1.6594,0.07036732196126262,1.6861389678493293,0.233935119210434
center_p,11.534399999999998,12.431187999999999,2.228000000000001,0.12972524812078803,2.7240206594400114,0.33397604704529343
norm_p,10.722800000000001,8.190532000000001,1.7284,0.042756987733001066,0.5549053034311351,0.05682816203256973
