,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.964800000000002,9.537924,2.0360000000000005,0.20405136608217037,1.9182211822998931,0.2348531456038006
scale,14.941400000000003,9.513078,2.0361999999999996,0.22469543831595698,1.9475498986459874,0.2408724973922926
center,14.9454,9.420858,2.019399999999999,0.18536677156383757,2.030107188410504,0.2381210616472218
norm,14.3562,7.596601999999999,1.9241999999999997,0.2704062869091621,2.066531167100076,0.21208573737995676
scale_p,11.849400000000003,14.134498000000006,3.921000000000001,0.23541801120559988,0.4890953933498044,0.11773274820541657
center_p,13.958599999999999,21.79505,3.859000000000001,0.3473269929043812,3.2228360088127364,0.2810782809112081
norm_p,17.604000000000003,11.079351999999998,3.4644,0.23713287414443424,0.7291705787372388,0.11756121809508441
