,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,7.076199999999997,38.91001,3.3582,0.24816035138595377,2.7218761308516575,0.18102695931821877
scale,7.0334,38.395982000000004,3.3162000000000007,0.25357925782681834,2.9386201452851974,0.19517059204706008
center,7.031800000000001,38.456286000000006,3.3206,0.25080422643966743,2.872278086119795,0.19384952927464125
norm,5.7786,25.097337999999986,2.3522,0.12427405199799345,1.84342518176247,0.08873082891532118
scale_p,5.537999999999999,4.962852000000002,1.7564000000000002,0.591695867824003,1.8689269278642215,0.4842716592987865
center_p,8.1492,29.559648000000003,3.6868,0.643499308468937,2.1938929653235135,0.6112100784509367
norm_p,5.6838,9.135637999999995,1.4594000000000003,0.12401435400791315,1.0328205545766413,0.09187839789634997
