,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,13.3914,40.790749999999996,4.8686,0.503046757270137,4.410195915750229,0.410745712089609
scale,13.342600000000003,40.540426,4.8233999999999995,0.49999923999942253,4.369785265379066,0.4110212159974226
center,13.379600000000003,40.827220000000004,4.866799999999999,0.49828088464238707,4.411806749348843,0.4090840500435087
norm,13.303600000000001,42.533016,4.987600000000001,0.3954883563393491,3.7263262844447764,0.3056897773887769
scale_p,10.688600000000001,15.744914000000001,2.9702,0.3697513218367178,1.2901709680519087,0.11048058652994198
center_p,14.097399999999999,12.230646,4.557799999999999,0.41625381679931783,2.156056078232661,0.16547253548549978
norm_p,12.786999999999999,7.443626,2.9774000000000003,0.049040799340957016,2.226453054686758,0.07704050882490329
