,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,5.780999999999999,6.965209999999998,1.5417999999999994,0.2672620436949475,2.659775060357547,0.2959506039865437
min-max,5.761599999999999,6.882751999999999,1.5316,0.3059631350342718,3.09190026425433,0.3367988123494501
z-score,5.783400000000001,6.973221999999998,1.5406000000000006,0.2906242247301487,2.8878953332342223,0.3158886512681327
nonlinear,5.393600000000003,7.96828,1.6323999999999996,0.2986620832981649,2.534152181065692,0.2870370010991611
min-max_p,4.1386,7.030702,2.349,0.1244509541948151,0.5284482894248026,0.0957966596494888
z-score_p,6.879200000000001,21.159232000000003,3.6792000000000007,0.3215203881560234,2.694626992326769,0.1424337038765755
nonlinear_p,6.0698,5.131945999999999,1.7786,0.1933441491227495,0.955810357803262,0.1449828955428881
