,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,14.452599999999995,4.727270000000001,1.4922000000000002,0.34883124860023645,1.116542653417235,0.12679574125340334
scale,14.433400000000004,4.603454,1.4781999999999993,0.34192168694015307,1.0096375090516392,0.11523350207296491
center,14.449000000000003,4.671701999999999,1.4849999999999997,0.3477024590076981,1.1922235858244044,0.1385965367532681
norm,14.149599999999998,5.882332000000003,1.8051999999999992,0.34012915194084725,1.7760089602746947,0.14560549440182535
scale_p,15.073400000000001,12.913686000000002,2.6601999999999997,0.2480452378095575,0.8174534095616702,0.07532569282787911
center_p,17.461000000000002,16.855606,3.9337999999999993,0.6171490905769852,5.603051990278511,0.5179300725001398
norm_p,16.241599999999995,8.023560000000002,2.33,0.7539691240362564,1.247755740519754,0.3313668661770516
