,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,11.879000000000001,11.579314,2.701,0.051429563482495104,1.6368416545298454,0.11205802068571444
scale,11.881399999999996,11.545309999999997,2.7029999999999994,0.056780630500197875,1.6960778819676876,0.11778370006074695
center,11.889,11.579913999999999,2.7030000000000003,0.05625833271614095,1.905321964919315,0.1419753499731555
norm,11.782600000000002,10.434046,2.6062000000000007,0.05377025199866548,1.776040053963874,0.1652741964131121
scale_p,8.883600000000001,11.217548,2.6308000000000002,0.09435592191272373,0.609779972855784,0.08531916549052743
center_p,10.466199999999999,11.465969999999997,2.4366000000000003,0.17913000865293327,2.307166137515892,0.16609166144030235
norm_p,11.0948,2.640584,1.4971999999999994,0.04504397850989602,2.2452316893683837,0.23099818181102644
