lag,5,5,5,10,10,10,15,15,15
var,1,2,3,1,2,3,1,2,3
model,,,,,,,,,
raw,7.052049999999999,10.38315,5.7812,9.13025,13.365500000000004,11.8822,13.6905,14.408349999999999,14.954550000000001
min-max_p_10,14.855600000000004,11.940399999999997,16.917599999999997,19.6628,14.660400000000005,15.017799999999998,16.625999999999998,17.0244,14.666399999999989
min-max_p_20,12.2532,13.843799999999998,6.500400000000001,13.8524,14.8748,10.5186,14.2798,15.460400000000003,12.722599999999998
min-max_p_30,5.537999999999999,9.777799999999996,4.1386,9.3062,10.6886,8.883600000000001,13.5742,15.0734,11.849400000000005
min-max_p_40,6.4214,6.637799999999999,6.261199999999999,13.009800000000002,13.054599999999994,10.536600000000004,16.560200000000002,16.640399999999996,17.0676
min-max,7.0411,10.3983,5.768099999999999,9.134450000000001,13.368900000000004,11.880849999999999,13.691500000000001,14.400450000000005,14.9398
z-score_p_10,8.129199999999999,9.7272,10.6994,11.849400000000005,12.829,10.970999999999998,14.550200000000004,14.554999999999998,13.035600000000002
z-score_p_20,7.963199999999998,10.790000000000004,7.567399999999997,12.266400000000004,13.116199999999996,10.746999999999998,14.266799999999998,14.558799999999994,12.708399999999996
z-score_p_30,8.1492,12.171399999999997,6.879200000000001,11.534399999999998,14.0974,10.4662,15.2128,17.461000000000002,13.9586
z-score_p_40,6.659800000000001,12.1428,7.320999999999999,12.453,11.914999999999996,10.180799999999998,14.94,16.159800000000004,12.420000000000003
z-score,7.04085,10.37815,5.777850000000001,9.13615,13.372000000000005,11.881099999999998,13.695,14.409400000000002,14.9497
nonlinear_p_10,8.036000000000003,13.0794,14.941400000000002,10.6306,14.631200000000002,11.056400000000002,15.044199999999998,12.442199999999996,14.246200000000004
nonlinear_p_20,5.022200000000001,7.960600000000002,6.753799999999997,10.6944,13.669800000000002,10.961199999999998,14.684,15.7874,13.3098
nonlinear_p_30,5.6838,6.139600000000001,6.0698,10.7228,12.787,11.0948,15.751199999999995,16.241599999999995,17.604000000000003
nonlinear_p_40,5.272799999999998,5.937600000000001,4.3466000000000005,9.5128,9.501799999999998,9.8498,13.460199999999997,13.364,11.0468
nonlinear,5.786266666666667,9.064199999999998,5.409866666666669,9.15,13.3182,11.779333333333334,14.45466666666667,14.108066666666666,14.36166666666667
