lag,5,5,5,10,10,10,15,15,15
var,1,2,3,1,2,3,1,2,3
model,,,,,,,,,
raw,3.33655,6.191549999999999,1.5416999999999998,1.4940499999999997,4.8514,2.7027000000000005,1.8247000000000002,1.48035,2.0298500000000006
min-max_p_10,10.137200000000002,7.508400000000002,12.068399999999995,10.050799999999995,6.489600000000001,6.7894,3.4315999999999987,5.863200000000001,5.676800000000001
min-max_p_20,7.816,9.1826,3.6395999999999993,4.994399999999999,5.808000000000002,2.8134,1.9618000000000004,3.964799999999999,3.3334
min-max_p_30,1.7564000000000002,5.848599999999999,2.349,1.6594,2.9702,2.6308,2.3442000000000003,2.6602,3.921000000000001
min-max_p_40,2.0714,2.716999999999999,2.301999999999999,3.7722,3.3150000000000013,1.4282000000000006,3.077,3.386,3.7836000000000016
min-max,3.3252,6.202400000000001,1.5355999999999999,1.4944499999999998,4.8493,2.69935,1.8286999999999998,1.4767499999999998,2.0196000000000005
z-score_p_10,4.216399999999999,6.1204,6.7174000000000005,3.3538,5.3382000000000005,5.108599999999998,3.0485999999999995,5.538999999999999,5.3132
z-score_p_20,3.3856000000000006,6.976400000000002,3.9994,3.5719999999999987,5.7998,4.353400000000001,4.1592,4.0364,4.472799999999999
z-score_p_30,3.6868,8.051400000000003,3.6792000000000007,2.228000000000001,4.557799999999999,2.4366000000000003,1.5695999999999994,3.9337999999999993,3.859000000000001
z-score_p_40,1.7866000000000002,7.679199999999998,3.781,3.3646,3.5022,2.367199999999999,2.7104000000000004,4.785,4.114000000000002
z-score,3.3267500000000005,6.181150000000001,1.5405499999999996,1.4956500000000004,4.8575,2.6995999999999998,1.8239999999999998,1.4784999999999997,2.0229999999999997
nonlinear_p_10,3.491200000000001,8.691799999999997,10.027000000000005,2.0857999999999994,7.288400000000003,1.614,2.0274,5.519399999999999,4.318199999999999
nonlinear_p_20,0.6926000000000001,3.5214000000000003,3.528600000000001,1.6904,4.002600000000002,1.1160000000000003,1.418,2.0186,3.335
nonlinear_p_30,1.4594000000000005,1.8196,1.7786,1.7284,2.9774000000000003,1.4971999999999994,1.608,2.33,3.4644
nonlinear_p_40,1.3732,1.7324000000000002,2.0234000000000005,1.2924,1.4641999999999993,2.4746,2.3162000000000003,2.1860000000000004,4.2288
nonlinear,2.3543999999999996,5.045800000000001,1.649733333333333,1.7965333333333333,4.997799999999999,2.605600000000001,1.298,1.8056666666666665,1.9247333333333334
