,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std),lag,var
raw,13.365500000000004,40.735003,4.8514,0.4949917047201731,4.359670035672841,0.4053961247477059,10,2
scale,13.368900000000004,40.726608999999996,4.8493,0.4997496164515156,4.400079506924899,0.4102811782119409,10,2
scale_p_10,14.660400000000005,37.106032000000006,6.489600000000001,0.6836957217944248,1.0901821520168082,0.4693355302978884,10,2
scale_p_20,14.8748,24.75624400000001,5.808000000000002,0.4133775030163106,0.7006223222707083,0.2941224234906275,10,2
scale_p_30,10.6886,15.744914,2.9702,0.3697513218367178,1.290170968051909,0.1104805865299419,10,2
scale_p_40,13.054599999999994,9.072297999999996,3.3150000000000013,0.1136698728775572,3.743481567818387,0.2576606295109906,10,2
center,11.881099999999998,11.537369,2.6995999999999998,0.051166212417494174,1.7912577747623466,0.13083940424141133,10,3
center_p_10,10.970999999999998,37.02733799999999,5.108599999999998,0.1778229456510041,1.8533309057898972,0.1634259465323667,10,3
center_p_20,10.746999999999998,31.415974,4.353400000000001,0.1726759971738978,1.9763723445555488,0.1623774614901957,10,3
center_p_30,10.4662,11.465969999999997,2.4366000000000003,0.1791300086529332,2.307166137515892,0.1660916614403023,10,3
center_p_40,10.180799999999998,10.168808,2.367199999999999,0.3132145590485856,3.610643719883753,0.3168030302885374,10,3
norm,11.779333333333334,10.432456,2.605600000000001,0.047864746239097165,1.7335298322696595,0.16065818075796143,10,3
norm_p_10,11.056400000000002,11.445647999999997,1.614,0.4204414822540707,3.137182140216917,0.5518006886548802,10,3
norm_p_20,10.961199999999998,3.4750120000000013,1.1160000000000003,0.2372394570892459,1.980385160178696,0.2864611666526548,10,3
norm_p_30,11.0948,2.640584,1.4971999999999994,0.045043978509896,2.245231689368384,0.2309981818110264,10,3
norm_p_40,9.8498,10.439738,2.4746,0.0866138557045003,0.5600069042038679,0.093171025539059,10,3
raw,11.8822,11.566999999999998,2.7027000000000005,0.05713058912578185,1.659562272177367,0.11651885247171397,10,3
scale,11.880849999999999,11.540020499999995,2.69935,0.0597025805217727,1.698621825043827,0.11893024881859504,10,3
scale_p_10,15.017799999999998,43.497758000000005,6.7894,0.4842779780250181,1.1420543854107832,0.3404374244997162,10,3
scale_p_20,10.5186,13.190982000000004,2.8134,0.0973244059832887,1.688871080182262,0.1136241171582864,10,3
scale_p_30,8.883600000000001,11.217548,2.6308,0.0943559219127237,0.609779972855784,0.0853191654905274,10,3
scale_p_40,10.536600000000004,3.212005999999998,1.4282000000000006,0.4492821385276742,2.8392330525273897,0.4094762019946952,10,3
center,13.695,8.327957999999999,1.8239999999999998,0.07052959753788382,0.2888972311674583,0.037562727255742175,15,1
center_p_10,14.550200000000004,24.208453999999996,3.0485999999999995,0.4726795531858767,1.7290590270097772,0.2935711838719869,15,1
center_p_20,14.266799999999998,35.654627999999995,4.1592,0.1678980643128442,1.8384656360171656,0.1356589842214661,15,1
center_p_30,15.2128,9.86228,1.5695999999999994,0.2757465502957381,2.302728721321728,0.3110174271644598,15,1
center_p_40,14.94,21.089752000000004,2.7104000000000004,0.211300733552915,1.2892571250514773,0.1438743896598696,15,1
norm,14.45466666666667,5.461694666666667,1.298,0.0826895367513405,0.3282150032908693,0.08704108144880629,15,1
norm_p_10,15.044199999999998,10.565850000000005,2.0274,0.1574686000445805,0.585633323249284,0.069965991738844,15,1
norm_p_20,14.684,5.77084,1.418,0.0608604962188117,0.4841560475714415,0.0505568986390581,15,1
norm_p_30,15.751199999999995,6.641632,1.608,0.1283220947459946,0.39078768119786,0.0832346081867392,15,1
norm_p_40,13.460199999999997,8.243642,2.3162000000000003,0.354364162973628,3.537713567890425,0.4098872527903255,15,1
raw,13.6905,8.320957999999997,1.8247000000000002,0.06912265801387263,0.2886725492702352,0.0358884220385217,15,1
scale,13.691500000000001,8.352984,1.8286999999999998,0.07884681474265168,0.30288919678343634,0.041152643572081496,15,1
scale_p_10,16.625999999999998,18.87105600000001,3.4315999999999987,0.2761666163749704,1.8055051450671649,0.1509484680279995,15,1
scale_p_20,14.2798,9.891462,1.9618000000000004,0.1537854349410242,1.8747780443444493,0.2314622215394987,15,1
scale_p_30,13.5742,10.172609999999995,2.3442000000000003,0.1352196731248823,0.4467208306090058,0.0672633629846144,15,1
scale_p_40,16.560200000000002,15.097578,3.077,0.1326573028521234,0.259098557533615,0.0523545604508336,15,1
center,14.409400000000002,4.614998999999999,1.4784999999999997,0.3321597903433211,1.1426271437884579,0.13149062759254848,15,2
center_p_10,14.554999999999998,43.069738,5.538999999999999,0.4854245564451802,3.627157944059784,0.331199335748126,15,2
center_p_20,14.558799999999994,27.72982800000001,4.0364,0.3235962916969228,7.50556848322737,0.6931948066741412,15,2
center_p_30,17.461000000000002,16.855606,3.9337999999999993,0.6171490905769852,5.603051990278511,0.5179300725001398,15,2
center_p_40,16.159800000000004,32.854842000000005,4.785,0.2679961940028252,6.949358310724523,0.641265155766318,15,2
norm,14.108066666666666,5.777995333333333,1.8056666666666665,0.3252414258824197,1.8036819949956262,0.15219600407061534,15,2
norm_p_10,12.442199999999996,38.39400200000001,5.519399999999999,0.9428982765919134,6.499380318691621,0.2114087036997294,15,2
norm_p_20,15.7874,8.467906000000001,2.0186,0.7325948675768893,5.266011735171504,0.8663509912269968,15,2
norm_p_30,16.241599999999995,8.023560000000002,2.33,0.7539691240362564,1.247755740519754,0.3313668661770516,15,2
norm_p_40,13.364,5.895163999999999,2.1860000000000004,0.2018415219918836,0.3542062640665745,0.0829939756849857,15,2
raw,14.408349999999999,4.6239895,1.48035,0.33485718249768825,1.1287338372002624,0.1304521558360106,15,2
scale,14.400450000000005,4.5886914999999995,1.4767499999999998,0.33193648098243306,1.1037016497321277,0.12570877969732314,15,2
scale_p_10,17.0244,39.30218400000001,5.863200000000001,1.1361428783388117,7.897267770599145,0.273243041997413,15,2
scale_p_20,15.460400000000003,24.718132,3.964799999999999,1.058631116111746,2.86495031268886,0.1316850788813979,15,2
scale_p_30,15.0734,12.913686000000002,2.6602,0.2480452378095575,0.8174534095616702,0.0753256928278791,15,2
scale_p_40,16.640399999999996,17.333568000000003,3.386,0.690159285962306,5.504003356882698,0.239774894432257,15,2
center,14.9497,9.439623000000001,2.0229999999999997,0.21056361373261262,2.096248970114173,0.24907518714072344,15,3
center_p_10,13.035600000000002,41.041360000000005,5.3132,0.1943518458878126,2.214085076594846,0.1770925181931749,15,3
center_p_20,12.708399999999996,27.357175999999992,4.472799999999999,0.3003222269496548,0.8166263817830042,0.1325600241400098,15,3
center_p_30,13.9586,21.79505,3.859000000000001,0.3473269929043812,3.2228360088127364,0.2810782809112081,15,3
center_p_40,12.420000000000003,20.695368,4.114000000000002,0.2379747885806394,1.9107900656471903,0.0852056336165631,15,3
norm,14.36166666666667,7.626031333333333,1.9247333333333334,0.24954358141826857,2.0721916416513033,0.212443801044618,15,3
norm_p_10,14.246200000000004,37.207894,4.318199999999999,0.3726815799043467,1.890243299304088,0.2678483899522265,15,3
norm_p_20,13.3098,16.961846,3.335,0.1754364842328984,2.3879489891712526,0.0708307842678591,15,3
norm_p_30,17.604000000000003,11.079351999999998,3.4644,0.2371328741444342,0.7291705787372388,0.1175612180950844,15,3
norm_p_40,11.0468,12.536196,4.2288,0.6245108165596492,0.9659713575381,0.3629415379920022,15,3
raw,14.954550000000001,9.490620500000002,2.0298500000000006,0.22198611058511705,1.9352049836293495,0.2387137957070568,15,3
scale,14.9398,9.405766999999999,2.0196000000000005,0.21058833700280838,1.99169666846178,0.24025972858700587,15,3
scale_p_10,14.666399999999989,47.85875599999999,5.676800000000001,0.2440390132745171,3.652746800212684,0.2674504813979589,15,3
scale_p_20,12.722599999999998,10.846653999999994,3.3334,0.2679463379111572,1.9965426864667848,0.0725426770942457,15,3
scale_p_30,11.849400000000005,14.134498000000006,3.921000000000001,0.2354180112055998,0.4890953933498044,0.1177327482054165,15,3
scale_p_40,17.0676,14.294035999999997,3.7836000000000016,0.0582601064194014,0.8148358062235606,0.1625270439034686,15,3
